# Solana memecoin universe — mints VERIFIED against Dune prices.day +
# latest_balances on 2026-08-15 (query 8344089).
#
# Floor is $20M peak market cap: a wallet that entered at $1M and rode to $20M
# made 20x, the same call quality as a $100M run on a smaller name. 269 tokens
# cleared that screen; scripts/find_whales.py classified 99 of them out as
# LSTs, stables, bridged majors, tokenised equities and infra.
#
# ASDEX removed by hand — it prices at $71B, a supply-vs-peak-price artifact of
# the same kind as MOMO, just under the sanity ceiling.
#
# Format: <mint>  # SYMBOL  peak mcap
# Regenerate with: python3 scripts/find_whales.py tokens
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN # TRUMP        $ 52,557.7M
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P # MELANIA      $  8,498.7M
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263 # BONK         $  4,558.5M
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm # WIF          $  4,298.9M
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv # PENGU        $  3,308.4M
2Wu1g2ft7qZHfTpfzP3wLdfPeV1is4EwQ3CXBfRYAciD # GOHOME       $  3,200.3M
HDa3zJc12ahykSsBRvgiWzr6WLEByf36yzKKbVvy4gnF # SOS          $  3,117.5M
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC # AI16Z        $  2,410.7M
2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump # PNUT         $  1,857.5M
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr # POPCAT       $  1,750.1M
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump # FARTCOIN     $  1,725.7M
4vMsoUT2BWatFweudnQM1xedRLfJgJ7hswhcpz4xgBTy # HONEY        $  1,468.3M
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82  # BOME         $  1,182.2M
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump # GOAT         $  1,091.2M
DrZ26cKJDksVRWib3DVVsjo9eeXccc7hKhDJviiYEEZY # YZY          $  1,000.3M
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5  # MEW          $    979.1M
63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9 # GIGA         $    854.9M
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump # PIPPIN       $    812.0M
FoXyMu5xwXre7zEoSvzViRk3nGawHUp9kUh97y2NDhcq # FOXY         $    769.9M
GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump # ACT          $    724.1M
8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn # ZEREBRO      $    673.4M
A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump # FWOG         $    644.1M
Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump # CHILLGUY     $    588.8M
ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY # MOODENG      $    587.1M
3psH1Mj1f7yUfaD5gh6Zj7epE8hhrMkMETgv5TshQA4o # BODEN        $    580.9M
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump # ARC          $    574.7M
69RX85eQoEsnZvXGmLNjYcWgVkp9r2JjahVm99KbJETU # HOLO         $    528.2M
H7ed7UgcLp3ax4X1CQ5WuWDn6d1pprfMMYiv5ejwLWWU # CHONKY       $    522.9M
KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP  # GRIFFAIN     $    512.0M
74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump # SWARMS       $    493.3M
FS66v5XYtJAFo14LiPz5HT93EUMAHmYipCfQhLpU4ss8 # SMOG         $    466.8M
7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3 # SLERF        $    434.5M
5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC # PONKE        $    430.9M
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk # USELESS      $    398.9M
6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump # VINE         $    380.6M
31k88G5Mq7ptbRDf3AM13HAq6wRQHXHikR8hik7wPygk # GP           $    378.3M
HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4 # MYRO         $    376.3M
WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk  # WEN          $    333.7M
5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp # $MICHI       $    298.9M
WETZjtprkDMCcUxPi9PfWnowMRZkiGGHDb9rABuRZ2U  # WET          $    276.0M
SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3  # SKR          $    274.4M
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2 # TROLL        $    261.0M
9PR7nCP9DpcUotnDPVLUBUZKu5WAYkwrCUx9wDnSpump # ban          $    260.0M
