age_days,circulating_supply,first_priced_day,last_priced_day,mint,n_active_days,peak_mcap_usd,peak_price_usd,symbol
873,9987792369080,2024-03-25,2026-06-26,GkFhW5MAr7gyxQpG8bR4ZqaZHS5cHMx1NwzHJydk3BmU,429,273403435403,0.027373760416666667,MOMO
870,16642768252,2024-03-28,2024-09-04,4PfN9GDeF9yQ37qt9xCPsQ89qktp1skXfbsZ5Azk82Xi,161,71374938720,4.288645833333334,ASDEX
574,999902546,2025-01-18,2026-08-15,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,575,52557690051,52.5628125,TRUMP
864,9993932365,2024-04-03,2026-08-15,85VBFQZC9TZkfaptBWjvUw7YbZjy52A6mjtPGjstQAmQ,865,13820422740,1.3828813559322033,W
927,6859781214,2024-01-31,2026-08-15,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,928,11922680848,1.7380555555555555,JUP
957,9996437144,2024-01-01,2026-08-15,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,958,10587121096,1.0590894479166666,PYTH
573,999724017,2025-01-19,2026-08-15,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,574,8498660807,8.501006944444445,MELANIA
957,7693833226,2024-01-01,2026-08-15,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,958,7709554479,1.002043357638889,USDC
906,838852202097,2024-02-21,2026-08-15,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,907,6888415444,0.008211715277777778,PUMP
317,9998089180,2025-10-02,2026-08-15,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,318,6412869382,0.6414095,2Z
957,467709272,2024-01-01,2026-08-15,rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof,958,5839999859,12.48638888888889,RNDR
612,999969702,2024-12-11,2026-08-15,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,613,5198263549,5.198421052631579,ME
957,85586503332122,2024-01-01,2026-08-15,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,958,4558450094,5.3261319444444e-05,BONK
794,790541705,2024-06-12,2026-08-15,BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K,795,4355626449,5.509673202614379,IO
957,933570320,2024-01-01,2026-08-15,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,958,4331117970,4.639305555555556,JTO
957,938988054,2024-01-01,2026-08-15,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,958,4298935098,4.5782638888888885,WIF
957,535070370,2024-01-01,2026-08-15,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,958,4269805818,7.979895833333333,RAY
896,9989059340,2024-03-02,2026-08-15,SarosY6Vscao718M4A778z4CGtvcwcGef5M9MEH1LGL,897,4103114790,0.4107608784722222,SAROS
957,3826717850,2024-01-01,2026-08-15,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,958,3836791007,1.0026323229166667,USDT
957,12899760,2024-01-01,2026-08-15,So11111111111111111111111111111111111111112,958,3469432115,268.9532291666667,SOL
957,999992941,2024-01-01,2026-08-15,NeonTjSjsuo3rexg9o6vHuMXw62f9V7zvmu8M8Zut44,958,3343413899,3.3434375,NEON
606,76690408387,2024-12-17,2026-08-15,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,607,3308355782,0.04313910763888889,PENGU
618,928069540,2024-12-05,2026-08-15,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,619,3297385962,3.552951388888889,GRASS
550,999991001,2025-02-11,2026-08-15,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,551,3214693292,3.214722222222222,LAYER
550,9999618,2025-02-11,2026-08-15,2Wu1g2ft7qZHfTpfzP3wLdfPeV1is4EwQ3CXBfRYAciD,551,3200326231,320.0448611111111,GOHOME
689,999884425,2024-09-25,2026-08-15,HDa3zJc12ahykSsBRvgiWzr6WLEByf36yzKKbVvy4gnF,690,3117486877,3.117847222222222,SOS
585,2399992598,2025-01-07,2026-08-15,SonicxvLud67EceaEzCLRnMTBqzYUUYNr93DBkBdDES,586,2475916666,1.031635125925926,SONIC
905,7716026,2024-02-22,2026-08-15,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,906,2416979919,313.2415277777778,JITOSOL
655,1085081466,2024-10-29,2026-08-15,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,656,2410651648,2.2216319444444443,AI16Z
957,483733,2024-01-01,2026-08-15,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,958,2318391479,4792.704236111111,soETH
957,16150,2024-01-01,2026-08-15,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,958,2010318611,124478.18958333334,BTC
837,8313674274,2024-04-30,2026-08-15,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,838,1978031818,0.23792510416666668,KMNO
642,939086366,2024-11-11,2026-08-15,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,643,1857467182,1.9779513888888889,PNUT
957,182323204,2024-01-01,2026-08-15,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,958,1843718081,10.112361111111111,HNT
835,945784116,2024-05-02,2026-08-15,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,836,1750094691,1.8504166666666666,POPCAT
613,839970440,2024-12-10,2026-08-15,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,614,1725730934,2.0545138888888888,FARTCOIN
904,6557215794,2024-02-23,2026-08-15,4vMsoUT2BWatFweudnQM1xedRLfJgJ7hswhcpz4xgBTy,905,1468327734,0.2239254861111111,HONEY
905,212893306,2024-02-22,2026-08-15,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,906,1264024437,5.9373611111111115,JLP
824,4315077,2024-05-13,2026-08-15,jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,825,1212786454,281.05791666666664,JUPSOL
884,62826497973,2024-03-14,2026-08-15,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,885,1182241770,0.01881756597222222,BOME
661,880539655,2024-10-23,2026-08-15,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,662,1091225020,1.2392684583333333,GOAT
465,1052076599,2025-05-07,2026-08-15,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,466,1055686679,1.0034313854166668,USD1
844,783736185,2024-04-23,2026-08-15,TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6,845,1055676314,1.3469791666666666,TNSR
359,999999325,2025-08-21,2026-08-15,DrZ26cKJDksVRWib3DVVsjo9eeXccc7hKhDJviiYEEZY,360,1000259508,1.0002601831683169,YZY
872,81566972554,2024-03-26,2026-08-15,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,873,979052053,0.012003045138888889,MEW
569,939652725,2025-01-23,2026-08-15,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,570,949634520,1.0106228547008547,DRIFT
837,995648173,2024-04-30,2026-08-15,ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq,838,936705272,0.94079946875,ZEUS
933,9596477174,2024-01-25,2026-08-15,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,934,854907467,0.08908555208333334,GIGA
957,9992470846,2024-01-01,2026-08-15,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,958,836493328,0.0837123611111111,SRM
638,999884459,2024-11-15,2026-08-15,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,639,812020036,0.8121138680555555,PIPPIN
957,68524945734,2024-01-01,2026-08-15,FoXyMu5xwXre7zEoSvzViRk3nGawHUp9kUh97y2NDhcq,958,769935345,0.011235840277777779,FOXY
