avg_loser_size_usd,avg_txs_per_position,avg_winner_size_usd,best_position_pnl_usd,biggest_position_usd,conviction_ratio,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate,net_pnl_all_usd,roi_all,n_positions_all,n_losers,gross_losses_usd,worst_position_usd,n_total_wipeouts,wipeout_loss_usd,n_txs_all,biggest_position_all_usd,clean_pnl_usd,clean_invested_usd,inflow_pnl_usd,n_clean_positions,n_sold_without_buying,sold_without_buying_usd,best_clean_position_usd,clean_pnl_excluding_best_usd,recent_pnl_180d_usd,recent_positions_180d,size_variation,active_hours_of_day,best_position_share,verdict
93267,3.70000000000000000,135596,6376851,811590,1.45,,2024-03-15 06:00:04.000 UTC,2025-10-27 13:14:26.000 UTC,6796550,26,20,2,10,0.10000000000000000,419699,0,1.47,28,4628409,9eBTTDjNTS1AKYzzVRjp8WUfds25zeenAPEnv4DicPW1,0.50000000000000000,3859462,0.43,87,68,-4251233,-784435,30,2374506,321,811590,3932130,8805099,-72669,85,4,14046,6376851,-2444721,0,0,1.69,9,1.62,pass
32001,4.00000000000000000,53672,3896933,215864,1.68,,2024-01-20 19:54:33.000 UTC,2025-09-20 11:42:52.000 UTC,5065738,14,10,9,7,0.20000000000000000,1168805,0,8.06,0,628258,4kguEV9YRtxuMiUJicpiUQ1itMxosEba4BHCfUTZJP3H,0.70000000000000000,4006822,1.1,99,77,-1577162,-158501,27,706759,394,417735,3840278,3061117,166545,90,8,113381,3896933,-56655,0,0,1.66,18,1.01,pass
15373,4.30000000000000000,38776,2817866,638567,2.52,,2024-01-03 23:04:43.000 UTC,2025-11-13 04:03:05.000 UTC,3499758,5,27,29,14,0.22000000000000000,681891,0,1.09,0,3222966,6Hu85GZPz74fEqiT5aFVdXR2yAuKFFiVW2Yqkv6Nx3JR,0.52000000000000000,3446378,0.51,325,248,-1662314,-182597,104,592596,1412,638567,3345152,5978926,101226,296,8,109965,2817866,527285,0,0,3.28,16,0.84,REJECT: trades too often
64629,10.00000000000000000,37784,3882871,181836,0.58,,2024-05-13 16:44:27.000 UTC,2024-10-30 14:58:12.000 UTC,4285983,17,9,4,5,0.00000000000000000,403112,0,8.15,0,526172,CMDarQhUrahd9f3UNEaC5yfBi5ha8gsLEwP9aHZQeDLG,0.56000000000000000,3031873,1.31,40,30,-1348143,-507773,10,781859,401,510909,3157541,2079664,-125668,36,3,222625,3882871,-725330,0,0,1.53,19,1.23,REJECT: size went into losers
31125,4.80000000000000000,75460,4299853,2385540,2.42,,2024-03-02 00:47:59.000 UTC,2025-11-15 06:49:51.000 UTC,5564230,8,34,17,19,0.15000000000000000,1264377,0,0.86,8856,6490361,E82uKSzbi1YHuEPDkVV93xz5zE7phNeMmENQieyyX3kH,0.56000000000000000,3799093,0.35,276,228,-4975393,-1019733,112,1923193,1328,2385540,3135071,10339722,664021,259,12,204605,4299853,-1164782,-20861,5,4.37,17,1.37,REJECT: trades too often
5238,4.00000000000000000,7751,1551382,90999,1.48,,2024-07-22 19:59:46.000 UTC,2025-02-10 03:24:06.000 UTC,2624003,6,15,7,9,0.27000000000000000,1072621,0,6.18,0,424846,3SZADSs95mchdbT2h1L5pkzv9zg2vACsjambHFcyojuj,0.60000000000000000,2564168,2.59,170,130,-392164,-82324,40,147963,684,90999,2369570,945101,194599,163,0,0,1551382,818188,0,0,2,11,0.65,pass
144086,15.50000000000000000,325175,3734324,1215349,2.26,,2024-10-14 10:01:47.000 UTC,2025-05-20 10:13:54.000 UTC,3754205,5,9,1,5,0.11000000000000000,19881,0,1,0,3740583,A1ECE86o3tz6UWmwMWicrqZmwRZ7RCRzmYYa9okNQRBw,0.56000000000000000,1805648,0.27,38,31,-2601346,-681364,17,1782214,588,1215349,1823775,6717097,-18127,37,1,64926,3734324,-1910549,0,0,1.54,20,2.05,pass
23602,4.60000000000000000,121963,1732345,1995183,5.17,,2024-10-21 03:42:12.000 UTC,2026-01-22 10:48:13.000 UTC,2143015,7,14,6,9,0.14000000000000000,410670,0,0.57,0,3791755,CF59pv4Aa7V2ESYr21M1gw6LuaswgJfTJqzY2pxcSrDs,0.64000000000000000,1811653,0.31,115,83,-1034785,-102594,30,291042,528,1995183,1793019,5791273,18634,109,0,0,1732345,60675,8756,1,3.81,17,0.97,pass
41872,3.80000000000000000,90443,1181536,473651,2.16,,2024-10-13 19:53:27.000 UTC,2025-02-03 22:47:31.000 UTC,2989537,22,6,2,4,0.33000000000000000,1808001,0,2.85,0,1049330,98rUpAQ3fmePQByDbtzkhn1EV2bqNCzdzBF5RGV6LYvW,0.67000000000000000,2935893,1.57,33,23,-683836,-405888,7,63121,126,473651,1743009,1620222,1192884,31,3,68901,1018491,724517,0,0,1.81,10,0.58,pass
2397,3.40000000000000000,2110,1201531,132793,0.88,,2024-12-06 15:30:29.000 UTC,2025-05-03 23:24:13.000 UTC,1773696,8,4,5,3,0.25000000000000000,572165,0,6.37,0,278296,nPosUpnDtaB4dBaJUMF1bm78E4BTZDwWQWGoEmEyESx,0.75000000000000000,1644193,0.26,2814,1558,-2158763,-121082,121,596286,9666,132793,1632825,6293367,11748,2806,2,41940,1201531,431294,0,0,2.98,17,0.74,REJECT: trades too often
