wallet,clean_pnl,biggest_position,avg_winner_size,conviction,tokens,rug_rate,hold_days,last_action,still_held_usd
9eBTTDjNTS1AKYzzVRjp8WUfds25zeenAPEnv4DicPW1,3932130,811590,135596,1.45,87,0.34,26,2025-10-27,28
4kguEV9YRtxuMiUJicpiUQ1itMxosEba4BHCfUTZJP3H,3840278,417735,53672,1.68,99,0.27,14,2025-09-20,0
3SZADSs95mchdbT2h1L5pkzv9zg2vACsjambHFcyojuj,2369570,90999,7751,1.48,170,0.24,6,2025-02-10,0
A1ECE86o3tz6UWmwMWicrqZmwRZ7RCRzmYYa9okNQRBw,1823775,1215349,325175,2.26,38,0.45,5,2025-05-20,0
98rUpAQ3fmePQByDbtzkhn1EV2bqNCzdzBF5RGV6LYvW,1743009,473651,90443,2.16,33,0.21,22,2025-02-03,0
6jgjS8xMLCW1vnBk9SimbjL1JTUV1U4tKNV6TfwgxdT8,1622361,2619823,516294,16.69,33,0.09,68,2025-03-03,0
8xZAHBnpM6yxmhKWsmGBiVAtJe1dZ8MPb54VpJkz3imb,1481537,934057,558023,22.32,6,0.0,43,2025-05-22,2
HttEYe68oHQGFAxTQKFTai98ePoYgEGh37KGowqzt4JT,1299435,1000375,98312,3.06,107,0.25,8,2025-08-17,0
Fmshfdt4iUBPp16P7idL3vEgNG9X3CkjyVjQVpwagogH,1277264,345906,105246,1.82,16,0.12,18,2025-01-24,0
8bbUWL8oxzibuNHAbDzG1APa2ebNQ6wun4VfPDjAbgdz,1180180,141401,39729,1.35,22,0.23,13,2025-01-22,0
EBcKvhjbAhQk44umUV7ZSmAcAkxDfC8ktHFtsAUt5GTk,1105028,620020,34297,30.88,68,0.34,17,2025-01-23,0
Bg2nnVVBFwWnTkeonfS2fMUdMisStxVnj4i5WSosMZes,1080470,389364,19283,3.21,87,0.13,24,2026-08-11,0
6LLnmHNEe8P9if1NqtzJJxLwtkxJMcDxNcu9cYZNNUhi,978906,386779,24465,2.15,105,0.15,20,2025-12-18,0
5qmnGdhcJGPFQrFhVHPiLuNdi7p2RVoDt9yu3UxzWSFJ,962411,118358,54543,6.23,7,0.0,40,2025-02-02,0
H7Fr5kNSdJhuV5Wo97ByB1VLCwoJ3tzJ8Eyo47Ghxzkp,930538,765529,175134,2.07,48,0.21,8,2025-01-23,0
CcdrVnUYLWNamMqiSjxZBuxXHPehtKiqDTZavQKRDcrW,865030,860346,314179,4.11,10,0.1,55,2025-08-14,43822
6eu5LKnaQabqfCuA7NqAKRYEfifHh5YkJkCp5pJxzTSY,845134,501813,92127,2.61,23,0.0,14,2025-02-18,0
AmYM64sdVfDTCKKxjirktBzGpam9na4yd7eEiewehFPW,837550,1440014,60248,7.58,99,0.1,7,2025-08-09,0
3pqCqs7n9ErmmKDeFGtK3VdTc3dXF7gojsF7UUAU6UXu,821950,697238,98588,4.8,39,0.23,16,2025-06-05,0
FQ5YFztypZwMWKQhMWvuzEqPNGH2yuwCTiqStW2mrW1J,806449,477949,44131,9.55,56,0.14,17,2026-04-24,64
HFSrBa3TBXDh6vjXmxDaL3iKA4hKVA3Sr67fx5NfGxYE,803468,928060,153587,3.08,24,0.04,10,2025-02-05,0
Cxz6dMjGekUx5p3UCgVpH5KfVDTYZQYbuYRjTAfCg1RS,782908,2773184,724617,35.7,12,0.17,14,2025-07-22,0
JE9L5mY7QUBvs3QbnJTqwgnHHG46Kkrxn3C41Zzd6ap1,740216,1452564,143694,4.8,36,0.03,7,2025-02-03,0
5z7atUKAymgT7hX5sg6jyHD14j13M8XoENGGQQPmFZu6,693211,596707,14405,3.44,186,0.26,6,2025-10-25,34
D8YvsyB39r1Crv8sYwLiZqrq5tGBUfhMv6nNBcaBbhVe,681360,363741,92020,1.61,27,0.19,28,2025-02-03,0
B6vF2juHSPCTESDLLYLPs9pwTBuU65JPwHpGCaY215f4,651886,513523,105254,3.24,58,0.16,9,2025-01-15,0
F1yMmDsxdvgktBSL5bsEgensec3TwM46mwSdFuazg715,639667,173237,25538,1.59,137,0.08,6,2025-03-08,0
DXEz1dXEdKLHUPuNcUmr9jAwqZHQS5okHJX7PWyWnZ4r,632534,333998,105703,1.76,16,0.19,5,2025-01-20,0
ErRTh5mF3SDrZrjadHgCKzV5CjzVydDwgtiFXC5gtVbJ,629989,308935,101581,1.56,16,0.12,5,2024-05-01,0
2GTxgLAsbHPGUWSuj7n2kb7JpW2xQhzfXv3ukqpEjdDi,610234,715937,40802,1.25,74,0.12,5,2025-01-23,0
9kzuv2pw4RGyYxVrrtTJhFMskfgdMf4D7H2HnyovKrq2,581833,1221275,183386,2.04,42,0.05,5,2025-06-13,0
ELv8zALMc8EVmAEcEBvq34uCXc59rNcFjrUh83h5fmHq,540736,1429688,469691,3.98,16,0.31,121,2025-10-11,0
5eUordLr8kgNENy1xa8Cjv7LwqHij2nNgZjsENY9fyGD,537479,187723,31606,1.3,99,0.06,6,2025-02-06,0
PeZVzFieqdGcwaYUT4oFCKE28DXA4BdFDCPWkavxxsK,528870,534070,48758,2.43,71,0.27,12,2024-11-10,0
82qDmg3SgzdXMhNUKhogPaURjNsw5XGA2bk8Pj5PhnJj,517060,274745,171955,6.22,13,0.0,6,2025-01-23,0
7vvLmoG12Zcj9pRYrcFb41naLfgTTzWXmv9MDREyx2Z2,500543,454174,68050,1.58,54,0.17,5,2025-03-11,0
8jfFXqcaEfkG9C1AHzNEhHYojfHki5BLyGayZQzzR3oQ,495940,290237,33743,2.2,28,0.04,5,2025-09-18,0
Et6fzGoTdSVM6xRgaTS2m8Tf5P8qLYCnNzLWu4jE6eqP,430480,228148,44028,2.92,89,0.19,5,2025-05-04,0
DQdEiEmyqUiL5Bi6o7pkbZubkYVDp1LBtf7EPhxtfpLY,415888,389866,91257,19.22,12,0.0,7,2025-10-31,0
E18Z2CC42kDaGbkMHSeDskHL8UcgDq27CfsdhHfUJCcr,412663,75167,26165,3.01,31,0.13,33,2025-10-30,0
82w9PVKPncAqWr6YzmYvzRiT6SoRBvYnmYsgx8V7cMJi,361960,109588,10008,2.45,230,0.61,9,2025-02-12,6
6uexdDXJJJFHddDNHkkwdhqNci4bMNmQ71ccqZhrZ7aS,349189,118604,13943,1.06,39,0.36,8,2025-07-22,0
5C72EcVouVcJUpim6DSpXYeJqHXonG9F7xZTUQd3aqAv,340710,79444,26359,5.8,18,0.39,47,2024-12-18,0
AhLfGaeuew6r5YsBgzDiTT1V4FHvpV8q49WmhFSejhEe,337842,98072,22786,1.92,127,0.18,33,2025-08-21,0
3DRANjSb8B4aELMvTTZpyz5M2CfsMWdQuXnHPVBVWz76,333455,254730,78857,8.13,49,0.43,6,2024-12-02,0
D9jyJsvz18UdskpNHmm6aP5acMoManSNLSpdEfYo9RkE,331111,96948,17519,1.9,132,0.36,6,2025-01-10,0
7KHqBwyPyusXy38gZBa6agTxwrxSmfjRGXxCnpxJgo1t,325140,55800,7387,2.05,162,0.41,10,2025-05-21,0
2EWhDo3h6kVK5GSUzMp5jt5W7rbbgwUwFvuvYGgVZYov,320316,150295,27337,5.67,38,0.11,45,2025-01-20,0
821PXCnRyKrjgxcKUdgR6wFHdCpEMAkbnas8vQohUxve,301903,153825,39402,1.16,12,0.0,141,2025-07-20,0
42KT1JSVjhDVNjxRVvCbRHDuD4tkJhWx1c9dkFGucz9t,277767,776223,59257,1.82,46,0.3,10,2024-12-16,0
9f1JLLiSPcBs73kSbMtiJURWRzo7nH8Fcs6FhmCQUYKn,261106,328236,42765,1.92,61,0.16,5,2025-05-13,0
HxLoLZu5DYadqqRcact1HmKyavqtKzTmSFq1kvwLVjwu,259635,81285,21749,1.94,27,0.26,46,2025-05-18,0
