wallet,rug_rate,win_rate,tokens,clean_pnl,recent_pnl_180d,hold_days,biggest_position,conviction
AZAYfZ5Atc6nvvBKJ8KMnw3A1x2yebBsyC4wx84YMzs,0.0,0.9,10,26683,255938,13,318504,4.63
CcNqmhu2sRVmPbTvbP5iGgeWMSaNQpstfrg7nCDKyoj5,0.0,0.75,8,186254,0,8,255719,2.16
5qmnGdhcJGPFQrFhVHPiLuNdi7p2RVoDt9yu3UxzWSFJ,0.0,0.71,7,962411,0,40,118358,6.23
5b4U2wV1PiryZuMHYxZoJmWE8aj4ZrWXJxeYEBzeQdcY,0.0,0.67,18,42043,0,6,111822,1.57
82qDmg3SgzdXMhNUKhogPaURjNsw5XGA2bk8Pj5PhnJj,0.0,0.62,13,517060,0,6,274745,6.22
2m6KeU7arS9nAjJrq5ySX99dujfWD25adqDd3EDYh2SB,0.0,0.62,8,84538,0,142,57527,6.53
GcrgNMWLy2t3FGGCDwJpPuxESTzmXaPhfMYqntAf6Rrp,0.0,0.6,10,39426,0,11,124827,3.56
DQdEiEmyqUiL5Bi6o7pkbZubkYVDp1LBtf7EPhxtfpLY,0.0,0.58,12,415888,0,7,389866,19.22
821PXCnRyKrjgxcKUdgR6wFHdCpEMAkbnas8vQohUxve,0.0,0.58,12,301903,0,141,153825,1.16
6eu5LKnaQabqfCuA7NqAKRYEfifHh5YkJkCp5pJxzTSY,0.0,0.57,23,845134,0,14,501813,2.61
8xZAHBnpM6yxmhKWsmGBiVAtJe1dZ8MPb54VpJkz3imb,0.0,0.5,6,1481537,0,43,934057,22.32
8PrMcKD1MHPojLbVrFH62dQ8xwrSDj8aAVRaVu6sDdcB,0.0,0.5,16,208558,0,17,398809,22.41
5FECiizUh3HNvtUZmphhJLg7GLLM3kGfd7rQRamoscEG,0.0,0.5,8,59798,0,11,211322,1.54
4idjuQ5Ka6a8ReYtAnGrRzo9jiiiW4A55eBabeY8Xjhr,0.0,0.5,20,15417,0,22,75032,3.27
G92zr77VrzSVUB3aSMMMq2Abc4MHK22nXCh97iEH8C22,0.0,0.46,26,147865,0,7,131044,1.0
EHvYyGhxSScDwTBJuPGz4SPZYDVGzRpBAFJBRPkVu3W6,0.027,0.68,37,23561,0,8,73332,1.5
8jfFXqcaEfkG9C1AHzNEhHYojfHki5BLyGayZQzzR3oQ,0.036,0.61,28,495940,0,5,290237,2.2
5G5ggRBZbtDUc6XGTxe818SHu1e4nHDMV99siLp4zy8w,0.038,0.38,26,124868,0,9,74320,1.97
HFSrBa3TBXDh6vjXmxDaL3iKA4hKVA3Sr67fx5NfGxYE,0.042,0.42,24,803468,0,10,928060,3.08
xWrvjBy6zynrfVgUvq8FvuJ1Tn8xmyunFZca9TJMkUt,0.043,0.41,46,2487,0,8,71546,1.35
9NdH3CmFXwoAcn5KRbp4zz56CC4QP3AYPRmMg3BSsru9,0.056,0.5,18,13033,0,12,69908,1.03
Bukgw3yjrgiB7zb3MdA4hDQhvmBSmTMF4siY93hhCzw5,0.061,0.39,33,25013,0,11,54280,1.89
329QzBy3tTJTjeN1uvBxz1LMCmJfKhghtKZPwf3PnDRr,0.062,0.62,16,76189,0,12,121897,1.14
FUo8v8jbrBg7NDC1MH4pqMLy1AL3WhddKgxTbtaewq9q,0.062,0.38,16,89844,0,19,80484,1.46
EUrZ2pCoGeL14MxX7mViM2T514Z4bSCmngvqgZCGHWa5,0.071,0.61,28,148046,0,29,329372,1.09
6fL3EdZHYtAjnjDZvF1JzjRruDoN9cJHCtNd3iB9md1q,0.071,0.57,98,29353,0,9,98243,1.66
Emf4JcP68y8LSYPBRXT5YeWKMbazQ2cmeW75EKxTfuvV,0.071,0.5,14,18662,0,32,58986,2.24
GY9H1doE5berJtPzAw7qctcJwiMECCWez2beXwERvyif,0.071,0.39,28,163486,0,25,101531,3.13
CxAj8PPhdWvrmynN9Ri2SGk3652hPj7ahy4n92x78cqo,0.077,0.38,13,109834,0,27,85120,3.01
481tQMRFxecGyUGZKFYKM9aKYMSvDvTH3knKsX7SgKCQ,0.087,0.39,23,119718,0,11,139971,2.16
86MMoJyd5ySvPkM8tCrWVFCAkAKQhjpViYbTbYrVJGLp,0.093,0.47,43,25988,0,25,72870,4.32
5SpEddnSAQW5XTx6dVnNooZ24R7UDRP6WmQE8oid2eNp,0.098,0.43,82,11780,918,7,85153,1.63
CcdrVnUYLWNamMqiSjxZBuxXHPehtKiqDTZavQKRDcrW,0.1,0.6,10,865030,0,55,860346,4.11
46f6SqV2p1STeR4iBaKsgrCW4bvkBC8yCr85VnMuyMPX,0.1,0.5,20,85317,0,7,179115,1.91
2EWhDo3h6kVK5GSUzMp5jt5W7rbbgwUwFvuvYGgVZYov,0.105,0.37,38,320316,0,45,150295,5.67
7iBFJCA4zSL4viZopPbEQZLmWTMCWSCuQkEyGhoGnQPz,0.105,0.37,19,54111,0,22,69827,4.84
DoEVVneAjDCmPKeqFo5EMKNYWsULWJ4Nj45TEe2oTb3W,0.105,0.37,19,43740,-67251,7,495703,2.66
AxbtdFcTqSgREcQTCqntyiKbPQMzMuNKrK9hVhTds1As,0.108,0.38,65,31093,0,13,54890,3.22
3UNBpcPqv22LRiuxuEFYEPA6qzbiV4Dzqed86wXiwpSH,0.111,0.67,9,42797,0,8,50672,1.38
74xQ36ThJXaMdHpCY6euypLHtXe8WikBzBh3QkjdJtED,0.118,0.65,17,110313,0,41,57812,1.28
H1uXTdoFEVRaRe3hkmdpZ3NaP9VJrjzDkFoCqdj9pVxs,0.118,0.41,17,95683,0,5,208774,1.48
6y4BKzMoahbPCFJc3CxCfEVUTfe9j7Sf1jciRHuTkmsJ,0.136,0.45,22,31912,0,11,99986,4.0
9SGbgFijQmvUgqm9yZ3id9qJvRq7BzEiDmy6kLRbMjwa,0.143,0.43,7,240470,0,24,239747,2.22
FQ5YFztypZwMWKQhMWvuzEqPNGH2yuwCTiqStW2mrW1J,0.143,0.36,56,806449,0,17,477949,9.55
