best_position_pnl_usd,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate
6198494,,2024-01-11 05:47:30.000 UTC,2025-05-20 00:34:55.000 UTC,20037040,5,23,6,16,0.17000000000000000,13838546,0,1.41,0,14195824,3XcHbc5Z7GfM3nXkP7NE8GT7ZawVsekxEfmPCofD1kcc,0.70000000000000000
9742255,,2024-01-14 17:19:52.000 UTC,2025-03-26 17:32:14.000 UTC,13382382,24,8,3,4,0.13000000000000000,3640127,0,1.63,0,8218514,5Fc7o7MexBkAxw5QgiAe1fsjo8NM2UaYJzcuA3QpwRJz,0.50000000000000000
1651941,,2024-01-07 02:28:27.000 UTC,2025-01-20 17:50:21.000 UTC,4193011,15,7,0,4,0.00000000000000000,2541071,0,1.03,0,4062004,Ad3grcn4kAtybmUKbYY5LRxvPN9bMsCLxACctFFyB7nN,0.57000000000000000
2112073,,2024-03-10 23:18:23.000 UTC,2025-08-25 15:37:23.000 UTC,4546587,5,13,8,10,0.15000000000000000,2434514,0,1.13,0,4021429,AEtL29wgARtujVynpgoDtUMLvM7NmZ6WALcjD2NjU8Dk,0.77000000000000000
2374135,,2024-01-04 16:10:54.000 UTC,2026-02-05 18:58:11.000 UTC,4413310,18,5,3,5,0.00000000000000000,2039175,0,1.35,0,3260471,HKqeFUrjncNpoc9PmiMe8hXGewCd75T5NhKuLTdKsZPS,1.00000000000000000
1906308,,2024-02-28 21:38:53.000 UTC,2025-03-03 00:08:53.000 UTC,3556012,68,6,3,5,0.00000000000000000,1649705,0,0.85,0,4186049,6jgjS8xMLCW1vnBk9SimbjL1JTUV1U4tKNV6TfwgxdT8,0.83000000000000000
974228,,2024-01-09 22:37:05.000 UTC,2025-05-16 15:32:12.000 UTC,2566296,10,8,5,5,0.25000000000000000,1592068,0,0.83,0,3078145,3SCvv1EnKQNvqJ7n5nbrKMfiT5twsq34bP6RkLNki89w,0.63000000000000000
3540764,,2024-03-06 02:57:58.000 UTC,2025-08-21 01:57:03.000 UTC,5038409,8,11,5,5,0.27000000000000000,1497645,0,0.6,0,8466313,C5YSQjFWwdPcQnEyh51Gt8tTWzRpzAPAyqUi9GX526SD,0.45000000000000000
952089,,2024-09-21 00:50:18.000 UTC,2025-08-11 20:13:04.000 UTC,2347980,5,7,0,5,0.14000000000000000,1395891,0,1.73,1,1359274,4QmkHvmqoUkMvno8DRwvUkVYXCR4sRGvR7TjLPrgmQ1p,0.71000000000000000
1091522,,2024-02-25 16:48:23.000 UTC,2025-01-12 19:59:59.000 UTC,2484689,16,11,8,10,0.18000000000000000,1393168,0,0.63,0,3970691,GdVcUhYWJYJXuQmMEg6fC1Jb2K6ve8ja97vBVvgd859M,0.91000000000000000
2997451,,2024-10-08 02:37:56.000 UTC,2025-09-19 15:10:41.000 UTC,4388065,8,10,2,3,0.30000000000000000,1390613,0,1.15,0,3805760,9pyjb3BaMnvzrB3vJHaQdni2n3TUcGoniPW5HvrTqFBQ,0.30000000000000000
3441511,,2024-10-28 21:18:28.000 UTC,2025-07-17 04:56:33.000 UTC,4693252,9,5,2,4,0.00000000000000000,1251742,0,1.03,0,4541259,J9HqxT4U39B45YcXxL4B1GZzdhSrXFr2N2Lam4bXrQeB,0.80000000000000000
1596204,,2024-10-15 22:59:07.000 UTC,2025-10-03 20:53:41.000 UTC,2837159,21,3,0,3,0.00000000000000000,1240955,0,8.39,26750,338251,DAGf9kro3K3rWz7UFWVFdUmWmgZGRokS4rcXQzCTdzgS,1.00000000000000000
2015466,,2024-03-15 20:10:03.000 UTC,2025-11-04 09:33:01.000 UTC,3233652,19,8,1,5,0.13000000000000000,1218186,0,5.11,5,632422,2dM6wMKS2is3jpwMueXvLfCgwveMiwB1iQNowkjx3x8S,0.63000000000000000
823382,,2024-10-11 05:05:01.000 UTC,2026-02-25 23:25:02.000 UTC,2017196,7,12,1,5,0.17000000000000000,1193814,0,0.65,0,3083707,GH4NtrMtTrxRDMbQacT6bgyWVwDkoujLnCYwUY9pa5Cu,0.42000000000000000
3896933,,2024-05-27 22:23:24.000 UTC,2025-09-20 11:42:52.000 UTC,5069155,26,6,2,5,0.17000000000000000,1172222,0,9.05,0,560389,4kguEV9YRtxuMiUJicpiUQ1itMxosEba4BHCfUTZJP3H,0.83000000000000000
1512613,,2024-11-01 21:14:37.000 UTC,2026-05-23 00:15:41.000 UTC,2572420,9,4,2,4,0.25000000000000000,1059807,0,3.96,0,649226,6LUxxZS195TB5JGbv8PH3mb18NiqnhaGu7sKtVDa1Ubr,1.00000000000000000
966433,,2024-01-05 21:00:04.000 UTC,2025-11-11 02:58:48.000 UTC,2000370,31,9,7,8,0.22000000000000000,1033938,0,0.41,0,4859603,BZ1g5FeMNrwvANdTcBTS8dfkMtxYXPNZfTjPkQuVBocS,0.89000000000000000
1526008,,2024-10-11 20:23:45.000 UTC,2025-05-13 15:29:07.000 UTC,2476165,24,4,2,4,0.00000000000000000,950157,0,1.77,0,1396189,HttEYe68oHQGFAxTQKFTai98ePoYgEGh37KGowqzt4JT,1.00000000000000000
1109331,,2024-01-31 17:19:08.000 UTC,2025-10-16 19:20:43.000 UTC,2035369,23,7,3,3,0.29000000000000000,926038,0,1.04,0,1957156,6rbVWb1mWKrJ1ivWuW3Sshh3e866wKpd9c3X2xUiXGnu,0.43000000000000000
591916,,2024-01-13 06:23:47.000 UTC,2025-05-30 17:34:44.000 UTC,1466675,5,14,4,8,0.29000000000000000,874760,0,1.12,0,1313017,E7Q7rydTxACkYmnvjwh9iHep75YWLvoPGrLJKfvGzwd3,0.57000000000000000
2152719,,2024-01-10 22:49:41.000 UTC,2024-12-26 02:05:32.000 UTC,2998519,20,4,2,4,0.25000000000000000,845800,0,5.39,3,556195,FbkrBxYpetgbigHg3xH25bmGSCctDCQ2vvSVWie2WmYH,1.00000000000000000
1255935,,2024-01-06 21:12:37.000 UTC,2025-04-28 16:32:43.000 UTC,2052005,13,3,3,3,0.00000000000000000,796070,0,3.72,115,550949,ooLyEBUPfCnZjEgqo7nhNBLN5wQWuFyC9T5HkLFH5tb,1.00000000000000000
2178213,,2024-05-23 14:36:34.000 UTC,2026-08-12 06:02:04.000 UTC,2933027,6,5,3,3,0.20000000000000000,754813,0,3.04,0,963394,9gbCVg3HNWKHxiBpP9RnQn3AGERgBZp8w8b3Bzy8ruVV,0.60000000000000000
2611340,,2024-08-13 13:47:15.000 UTC,2025-01-20 06:38:46.000 UTC,3348510,8,9,2,3,0.33000000000000000,737170,0,1.31,0,2554702,9ceNGMTod8HLRrbFitQXz8naZeqn7vgHjffqcUcsBmKj,0.33000000000000000
597451,,2024-11-03 00:03:01.000 UTC,2025-08-23 23:59:31.000 UTC,1303444,9,8,4,5,0.25000000000000000,705992,0,0.8,0,1628952,45KqzgVjjw9QvHweetoGpUGAVZkZPMDdZtS63qx7f6GN,0.63000000000000000
447520,,2024-04-07 02:30:32.000 UTC,2025-11-11 19:31:25.000 UTC,1139391,32,9,1,7,0.11000000000000000,691872,0,0.59,0,1939015,6ESX8sgqEgygfvxCV9uzky4QEm5mvGJ1mdzrnusHxe8B,0.78000000000000000
519605,,2024-01-02 01:05:01.000 UTC,2026-08-15 05:29:11.000 UTC,1116886,5,6,6,6,0.33000000000000000,597281,0,0.44,12,2549158,3BhraquLb1zDn5WDqXZXMNvH1vNyQLJw8Z6PcMEFnB1w,1.00000000000000000
866316,,2024-04-11 17:39:24.000 UTC,2026-07-07 10:45:46.000 UTC,1451975,5,8,5,6,0.25000000000000000,585659,0,0.82,0,1775757,8qdmzy1Y2msnNUxaQng8UVP4rDwDr1koksB5H4qPc6vi,0.75000000000000000
579354,,2024-03-03 23:39:35.000 UTC,2026-06-14 16:25:31.000 UTC,1128821,5,12,8,7,0.33000000000000000,549466,0,0.41,0,2779292,GCnCesT48KscB92StroDGi5EoAL1Vuq8Jr9cS9RSEtRg,0.58000000000000000
425608,,2024-01-14 23:04:03.000 UTC,2025-01-20 13:44:34.000 UTC,916213,7,9,5,5,0.00000000000000000,490605,0,0.44,0,2064722,DhfEncUbk61czr98NVWiB6xMoptcv348CiEG7SAZWRV6,0.56000000000000000
633757,,2025-06-02 00:57:02.000 UTC,2026-08-13 11:20:26.000 UTC,1120918,8,3,2,3,0.33000000000000000,487161,0,0.37,692124,3042665,4hC9CKKgdfo3mTRJHqSk6rwv89wc4ZquQKVpmaW5p6g1,1.00000000000000000
2000119,,2024-09-04 08:11:21.000 UTC,2026-06-01 22:15:47.000 UTC,2463819,10,4,3,4,0.25000000000000000,463700,0,2.76,0,893547,FhcpCWfb8KJsbrBGrvmCSRNLFNvo19w3WFPE9YF9Wusn,1.00000000000000000
1022131,,2024-04-09 01:44:12.000 UTC,2025-11-04 13:26:34.000 UTC,1480743,138,4,1,4,0.00000000000000000,458612,0,3.43,0,432141,F6qJ9zEigBXrD1s8gkYSPcr7tvL1xKgSdwv1jKPvjDX7,1.00000000000000000
431323,,2024-04-14 22:49:01.000 UTC,2025-01-20 05:33:45.000 UTC,881809,6,4,3,3,0.25000000000000000,450486,0,0.57,0,1553708,BfDVbCLxLaSyvTgTdgntKiohfvC5bjqWUZTzvUZJhQ6i,0.75000000000000000
137338,,2025-07-10 21:12:20.000 UTC,2026-08-15 03:11:42.000 UTC,585853,6,7,7,7,0.14000000000000000,448515,0,0.4,945,1478312,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,1.00000000000000000
385270,,2024-12-07 21:29:37.000 UTC,2025-06-12 04:50:08.000 UTC,817289,5,3,0,3,0.00000000000000000,432019,0,0.94,0,866360,gHBS7PwSsXn3whdiAc2WWhbT3dDTqkooMG4TJWBuLVw,1.00000000000000000
583642,,2025-02-26 10:36:58.000 UTC,2025-11-12 16:20:17.000 UTC,992418,49,10,9,9,0.10000000000000000,408775,0,0.65,0,1534850,HmUYehuzA7wr5LtvqcrEanr5yGKBrS21YLArxdrXrkWp,0.90000000000000000
341667,,2024-11-21 10:30:54.000 UTC,2025-08-22 12:37:21.000 UTC,742468,6,7,6,5,0.29000000000000000,400800,0,0.6,0,1241803,Fh875DX76iLgUr7PwqJYQo59EL666Y7YwnN3sykDZwBA,0.71000000000000000
1732345,,2024-10-21 03:42:12.000 UTC,2026-01-22 10:48:13.000 UTC,2130086,6,8,0,6,0.13000000000000000,397741,0,0.61,0,3495228,CF59pv4Aa7V2ESYr21M1gw6LuaswgJfTJqzY2pxcSrDs,0.75000000000000000
257844,,2024-01-11 13:05:48.000 UTC,2026-05-27 23:55:34.000 UTC,650436,5,6,1,5,0.00000000000000000,392592,0,0.35,0,1874269,85sdBe4mLEK4Ks3FPggq6UXECM9bh88TXYFGGrNe7HGG,0.83000000000000000
447510,,2024-01-09 16:02:05.000 UTC,2025-02-06 10:24:55.000 UTC,838523,12,7,4,5,0.14000000000000000,391013,0,0.96,0,871809,AEFLpRmj4fzbJHrVbqAQWiwGzAzq8By8rx23LopVGKV3,0.71000000000000000
717402,,2024-06-24 23:20:14.000 UTC,2025-08-30 02:02:08.000 UTC,1093966,9,8,3,3,0.13000000000000000,376564,0,0.94,0,1166360,BYxtkQwZK9zFZCQQvAYszZMm556nDEPZ2ynDCd7Y7gjD,0.38000000000000000
648261,,2024-07-05 18:19:03.000 UTC,2024-12-02 02:33:20.000 UTC,1018896,16,4,3,3,0.25000000000000000,370635,0,1.52,0,672023,wztUNYtMgnYpV7bJkAM63ECeEC3jgczDesn63gjYADx,0.75000000000000000
525425,,2024-01-03 15:01:06.000 UTC,2025-01-20 20:25:02.000 UTC,883821,9,6,1,4,0.33000000000000000,358396,0,0.74,0,1197405,6erxeK6BSDEBjZtvm2WDHStTX7Yfmpb4gLZ9XVgDqJQm,0.67000000000000000
2510489,,2024-01-13 20:17:07.000 UTC,2024-12-02 06:56:07.000 UTC,2853169,10,3,1,3,0.00000000000000000,342680,0,2.82,0,1013076,DJfCK2db1BK9rstJEsTsSFfHh4u56AphG3KCow5xwLb7,1.00000000000000000
357324,,2024-01-10 20:30:44.000 UTC,2024-12-17 10:20:18.000 UTC,692546,11,6,1,3,0.00000000000000000,335222,0,0.9,0,772174,5qUjaHRBmsKLy1dzuyA3KdWk7C6ozUK1nVWPP6g5BD3,0.50000000000000000
561352,,2024-01-11 02:56:09.000 UTC,2026-01-10 02:52:02.000 UTC,884341,15,8,2,4,0.25000000000000000,322989,0,0.45,0,1947284,9Ei9edqkXwsogEnTVCa3nEuhSDummRkSF3EMTQqgtS3w,0.50000000000000000
198825,,2024-01-27 18:31:28.000 UTC,2025-01-18 06:33:08.000 UTC,514482,9,4,2,4,0.25000000000000000,315656,0,0.96,0,537047,DXUNJAYfkvyy8A8PnCYGiaYWujfdCgsPbV797vyzajBf,1.00000000000000000
359766,,2024-01-02 23:24:23.000 UTC,2024-12-04 21:52:45.000 UTC,656282,8,3,0,3,0.00000000000000000,296516,0,0.9,0,725738,8kGE25NBABuU17aajpEeRwV441RtYZxBWyqYK6cptYpS,1.00000000000000000
230103,,2024-01-02 02:57:55.000 UTC,2025-07-05 17:21:22.000 UTC,517896,12,7,3,4,0.00000000000000000,287793,0,0.68,235,764976,CCdBbkzAfK485LXHrTWrgYadjSYEEJE625kGWNmwwSMm,0.57000000000000000
505557,,2024-08-04 00:10:55.000 UTC,2026-02-04 17:34:29.000 UTC,793016,30,6,2,3,0.17000000000000000,287459,0,0.54,0,1461207,H94ogYeZ5txTpR2rNZHhZCcreWvZDFMr9DPS9WQd5qRD,0.50000000000000000
404843,,2024-01-10 22:30:26.000 UTC,2025-10-25 19:10:47.000 UTC,680360,52,4,0,3,0.25000000000000000,275517,0,0.62,0,1094009,5z7atUKAymgT7hX5sg6jyHD14j13M8XoENGGQQPmFZu6,0.75000000000000000
291499,,2025-04-03 00:24:01.000 UTC,2026-01-04 06:37:14.000 UTC,563606,30,3,3,3,0.00000000000000000,272107,0,0.52,0,1076963,4AfJEwtGaVoEPf188ZSTiqCJJ2q9GEfdaXUbLtqGH5Dn,1.00000000000000000
333423,,2024-01-03 14:33:18.000 UTC,2024-12-02 01:17:17.000 UTC,605364,33,7,3,5,0.00000000000000000,271940,0,0.33,0,1832416,93DcpiP2KefHFJQxjaXheEKivquPHCajCTmNYJxtTDqt,0.71000000000000000
415066,,2024-04-22 18:31:45.000 UTC,2025-02-16 17:33:23.000 UTC,684609,47,3,0,3,0.00000000000000000,269543,0,0.39,0,1757226,5JPuWicdjfDb4CQqbZg3WKWNya89qtX8vstc3ZVBRaSY,1.00000000000000000
197397,,2024-01-04 10:55:47.000 UTC,2026-06-05 23:28:36.000 UTC,466773,10,3,2,3,0.00000000000000000,269375,0,1.44,30,323646,C6Xi6z71oVspEHF4ZYMBckmUPTJpZTvWnTXbYhY1a6Kw,1.00000000000000000
424783,,2024-02-01 16:10:58.000 UTC,2025-02-01 09:32:30.000 UTC,688753,11,5,1,3,0.20000000000000000,263971,0,0.78,0,884648,WxayYJCPAJ7hLfySZbtArur72hLbGECQAhqDpfeshum,0.60000000000000000
679820,,2024-05-20 16:07:42.000 UTC,2025-05-08 16:47:37.000 UTC,938539,18,5,0,3,0.00000000000000000,258719,0,0.92,0,1016574,7Yi1NwbCWzqqEZTSF6SrmvsYEUqVC2SgYGNmfdnERpvc,0.60000000000000000
517658,,2024-03-28 14:31:53.000 UTC,2025-02-15 06:48:16.000 UTC,774704,8,5,2,4,0.20000000000000000,257046,0,2.01,0,385668,3QLV3puPhL3eX1cikhc6oxmXW8tA2xV1j6d8sfB7Fcmd,0.80000000000000000
2431565,,2024-01-04 03:47:03.000 UTC,2026-07-12 12:54:20.000 UTC,2675992,14,3,3,3,0.00000000000000000,244428,0,0.92,0,2899971,B8LactoanANDRbubcsGdsU4XXWwWYDQmucH5CMGkZ4Nj,1.00000000000000000
268123,,2024-02-27 00:56:59.000 UTC,2026-08-11 09:58:58.000 UTC,512011,12,8,2,7,0.13000000000000000,243887,0,0.36,0,1429757,8LCVMEQaJ8LSdgXtcWHmrqVjcypAdx2VpHo9if9x4xrM,0.88000000000000000
632502,,2024-08-09 20:19:37.000 UTC,2025-01-02 12:03:12.000 UTC,873721,6,9,5,5,0.22000000000000000,241219,0,0.7,0,1246638,9S7ZLSmb6xVwbbRJkddCtdar63sM91m16FETktWCGssY,0.56000000000000000
620035,,2024-10-20 07:51:33.000 UTC,2026-04-24 02:55:31.000 UTC,853553,16,3,0,3,0.00000000000000000,233518,0,1.32,63,644498,FQ5YFztypZwMWKQhMWvuzEqPNGH2yuwCTiqStW2mrW1J,1.00000000000000000
388211,,2024-08-08 02:34:44.000 UTC,2025-01-26 23:05:25.000 UTC,617770,6,7,1,5,0.14000000000000000,229559,0,0.63,0,983254,bZDAfkARHkuKihHxHSyfNShpyhHXPSSL5xPZEmGoDrp,0.71000000000000000
119653,,2024-01-14 23:10:27.000 UTC,2024-06-04 11:01:48.000 UTC,340331,48,3,0,3,0.00000000000000000,220678,0,0.75,0,451362,GrL8ftjy4Gc14sxcemwfJ6M4gXVJnidXUpHFcchZACfW,1.00000000000000000
468582,,2024-01-05 19:52:10.000 UTC,2025-05-21 15:56:36.000 UTC,688937,22,6,0,4,0.33000000000000000,220355,0,0.48,0,1426305,GKndNQALBLECv3iVXELWe6KwH5DfJXgunmCBQVk6VYGY,0.67000000000000000
168360,,2024-03-01 01:41:58.000 UTC,2025-01-23 15:35:04.000 UTC,385122,31,5,3,3,0.00000000000000000,216762,0,0.9,0,428303,3qvZACJvQ4hx4ve2VaWXMsDhKMnviyZHFC4Z9j5CbA4q,0.60000000000000000
156057,,2024-06-20 12:26:53.000 UTC,2025-03-14 15:20:42.000 UTC,367169,13,5,0,4,0.00000000000000000,211112,0,1.41,0,260022,4uPJYegTLzXH9hLhj63xw3dnJMvcmG5yBRozBTyPnC26,0.80000000000000000
264900,,2024-12-12 02:22:09.000 UTC,2025-05-04 13:33:14.000 UTC,475627,14,4,3,3,0.25000000000000000,210727,0,0.35,0,1376048,3JM4opr7AFQZnPYh8qHTvbpGqeV1X2R7X8JtKCEXCx6R,0.75000000000000000
276198,,2024-01-03 00:09:59.000 UTC,2025-03-09 17:26:21.000 UTC,483817,86,4,2,4,0.00000000000000000,207619,0,1.86,0,260685,DdHQqYsvVbFjxhaEUzYUm3qWvE8kiQWPPU5eTcaCwYg6,1.00000000000000000
221491,,2024-10-13 00:59:18.000 UTC,2025-01-18 11:32:34.000 UTC,428421,8,5,3,4,0.20000000000000000,206930,0,0.76,0,563593,7o3FKnVgbAnTUE2m93GgYjoVbZoqgkYeAzFU76WtvLyC,0.80000000000000000
542162,,2024-03-19 23:56:02.000 UTC,2025-09-25 15:15:12.000 UTC,748391,7,5,2,4,0.00000000000000000,206229,0,0.76,0,986844,4XT66623Grswjp2khsXLRSGXPKdYTw1kBenuit8rNpdk,0.80000000000000000
386340,,2024-03-06 07:05:20.000 UTC,2025-05-20 09:55:43.000 UTC,584680,10,4,1,3,0.00000000000000000,198341,0,0.31,0,1915696,GpYRLe1iDoECBaHFLhi6uvLRF32tvakZYKca2Qo6cfPo,0.75000000000000000
179859,,2024-05-10 11:55:43.000 UTC,2026-01-25 00:26:28.000 UTC,367787,7,9,3,4,0.22000000000000000,187928,0,0.79,0,467779,EPKEYo9vPo9xeL4WLbri7dxCHnt3WJL6M3ddniMab1E4,0.44000000000000000
173200,,2024-01-04 02:40:01.000 UTC,2025-02-18 16:45:58.000 UTC,356029,35,3,2,3,0.33000000000000000,182829,0,0.33,2,1069499,CzLLrfqQMeFu5uubyayv7unPEqHuv5iG685kVyvFQW1R,1.00000000000000000
153168,,2024-04-16 20:38:31.000 UTC,2025-10-10 15:34:14.000 UTC,326698,27,4,3,4,0.25000000000000000,173530,0,0.77,0,421801,13QGSfiPNcQ1FzKQrXi8eC8EGKZ2W2i3mfUyaDBfLTBj,1.00000000000000000
245192,,2024-01-15 04:00:27.000 UTC,2026-07-02 06:07:20.000 UTC,414035,27,3,3,3,0.00000000000000000,168843,0,1.02,110832,407158,5Dp5zs2DMe3145egAf7SQUBkQtZgrbrQaWAGogQKEQps,1.00000000000000000
665994,,2024-05-26 13:00:22.000 UTC,2025-02-02 04:35:12.000 UTC,832272,69,8,6,6,0.13000000000000000,166278,0,1.31,0,635509,5uGwuXa37ZrTG1HES8xaRnH8X7haZfRYsSGEQCq6Jfia,0.75000000000000000
